id;name;energia, laskennallinen (kJ);hiilihydraatti imeytyvä (g);rasva (g);proteiini (g);alkoholi (g);kuitu, kokonais- (g);orgaaniset hapot (g);sokerialkoholi (g);tärkkelys (g);sokerit (g);fruktoosi (g);galaktoosi (g);glukoosi (g);laktoosi (g);maltoosi (g);sakkaroosi (g);polysakkaridi, vesiliukoinen ei-selluloosa (g);kuitu veteen liukenematon (g);rasvahapot yhteensä (g);rasvahapot monityydyttymättömät (g);rasvahapot yksittäistyydyttymättömät cis (g);rasvahapot tyydyttyneet (g);rasvahapot trans (g);rasvahapot n-3 monityydyttymättömät (g);rasvahapot n-6 monityydyttymättömät (g);rasvahappo 18:2 cis,cis n-6 (linolihappo) (mg);rasvahappo 18:3 n-3 (alfalinoleenihappo) (mg);rasvahappo 20:5 n-3 (EPA) (mg);rasvahappo 22:6 n-3 (DHA) (mg);kolesteroli (GC) (mg);sterolit (mg);kalsium (mg);rauta (mg);jodidi (jodi) (µg);kalium (mg);magnesium (mg);natrium (mg);suola (mg);fosfori (mg);seleeni (µg);sinkki (mg);tryptofaani (mg);folaatti, kokonais- (µg);niasiiniekvivalentti NE (mg);niasiini (nikotiinihappo + nikotiiniamidi) (mg);pyridoksiini vitameerit (vetykloridi) (B6) (mg);riboflaviini (B2) (mg);tiamiini (B1) (mg);B12-vitamiini (kobalamiini) (µg);C-vitamiini (mg);A-vitamiini RAE (µg);karotenoidit (µg);D-vitamiini (µg);E-vitamiini alfatokoferoli (mg);K-vitamiini (µg)
417;Ananas, sokeriliemessä;308;16.6;0.1;0.5;0;1.2;0.3;0;0;16.6;4.8;0;6.0;0;0;5.8;0.2;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;4;11;0;0;0;8.5;20.0;0.3;1.0;120.0;17.0;2.1;5.3;17.0;0;0.1;5.0;1.0;0.4;0.3;0.08;0.02;0.07;0;9.0;1.6;21.5;0;<0.1;0.10
28923;Ananas, tuore, punnittu kuorineen;123;5.9;0.2;0.3;0;0.7;0.3;0;0;5.9;0.7;0;1.2;0;0;4.0;<0.1;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;13;10;0;0;0;9.0;6.4;0.1;0.7;92.2;7.4;2.1;5.4;4.2;0.3;<0.1;3.2;2.6;0.3;0.3;0.05;0.01;0.04;0;16.2;2.6;31.8;0;<0.1;0.11
34523;Ananassalsa;209;9.7;0.4;0.7;0;1.5;0.6;0;0.2;9.5;1.4;0;2.2;0;<0.1;5.9;0.2;1.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;28;17;0;0;0.1;16.7;13.6;0.3;5.5;194.8;13.8;68.6;174.8;13.7;0.6;0.1;7.6;12.8;0.7;0.6;0.14;0.03;0.07;0;48.0;35.2;793.8;0;0.3;4.28
829;Anjovis;1076;9.6;11.4;28.9;0;0;N/A;N/A;0;9.6;0;N/A;0;0;0;9.6;0;0;10.2;3.0;4.2;3.0;0;2.7;0.2;175;146;768;1498;66.7;0;90.0;2.1;45.0;190.0;13.0;4140.0;10548.7;100.0;68.0;1.8;324.0;16.0;7.6;2.2;0.18;0.20;0.02;11.0;0;14.9;0;5.7;1.0;1.35
821;Ankerias;1463;0;31.5;17.5;0;0;0;0;0;0;0;N/A;0;0;0;0;0;0;28.4;6.5;13.3;8.6;0;4.8;1.7;970;420;1300;2100;62.9;0;19.0;1.0;60.0;280.0;26.0;84.0;214.0;390.0;57.0;2.7;207.0;14.0;6.1;2.6;0.24;0.25;0.06;1.0;0;2500.0;0;25.6;8.0;0.02
11045;Appelsiini, kuorittu;191;8.9;0.1;0.6;0;2.1;0.6;0;0;8.9;2.7;N/A;2.6;0;0;3.6;1.2;1.2;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;32;28;0;0;0.3;22.8;54.0;0.2;0.5;150.0;13.0;1.6;4.1;23.0;<0.1;0.1;8.0;26.5;0.5;0.4;0.09;0.04;0.09;0;51.0;7.4;166.8;0;0.4;0.10
28924;Appelsiini, punnittu kuorineen;138;6.4;0.1;0.4;0;1.5;0.5;0;0;6.4;1.9;N/A;1.9;0;0;2.6;0.9;0.9;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;23;20;0;0;0.2;16.4;38.9;0.1;0.4;108.0;9.4;1.1;2.9;16.6;<0.1;<0.1;5.8;19.1;0.4;0.3;0.06;0.03;0.06;0;36.7;5.3;120.1;0;0.3;0.07
11013;Appelsiinimarmeladi;806;46.6;<0.1;0.2;0;0.7;0.2;0;0;46.6;14.7;0;12.9;0;0;19.0;0.6;0.3;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;11;10;0;0;0.1;8.2;28.0;0.2;2.7;33.0;1.0;0.6;1.6;2.4;0.3;<0.1;2.9;9.5;0.2;0.1;0.03;0.01;0.03;0;5.0;2.7;60.0;0;0.2;0.04
4011;Appelsiiniriisi;456;13.0;5.4;1.1;0;1.3;0.4;0;5.5;7.5;1.5;0;1.5;0.5;0;4.1;0.7;0.8;5.1;0.2;1.2;3.6;0.2;<0.1;0.1;94;36;0;0;10.9;15.6;41.8;0.2;2.3;107.4;10.7;5.8;14.7;29.6;1.4;0.2;14.0;16.8;0.5;0.3;0.06;0.04;0.05;<0.1;28.6;50.2;113.1;<0.1;0.3;1.66
11054;Aprikoosi, keskiarvo, kivetön;223;10.6;0.1;1.1;0;1.9;0.4;0;0;10.6;3.0;0;3.0;0;0;4.6;0.8;1.4;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;32;28;0;0;0;15.9;31.0;0.4;1.0;160.0;8.8;2.0;5.1;11.0;1.0;0.3;6.0;5.0;0.6;0.5;0.05;0.05;0.04;0;10.0;66.9;1037.0;0;1.0;3.30
28921;Aprikoosi, keskiarvo, punnittu kivineen;209;10.0;<0.1;1.0;0;1.8;0.4;0;0;10.0;2.8;0;2.8;0;0;4.3;0.8;1.3;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;26;0;0;0;14.9;29.1;0.4;0.9;150.4;8.3;1.9;4.8;10.3;0.9;0.3;5.6;4.7;0.6;0.5;0.05;0.05;0.04;0;9.4;62.9;974.8;0;0.9;3.10
409;Aprikoosi, kuivattu;923;43.4;0.5;5.2;0;7.3;1.5;0;0;43.4;10.0;0;20.8;0;0;12.6;4.6;3.8;0.4;0.2;0.1;<0.1;0;<0.1;0.1;110;97;0;0;0;55.7;98.3;1.4;0;507.2;27.9;16.7;42.5;34.9;0.5;1.0;14.0;14.0;3.0;2.8;0.17;0.10;<0.01;0;1.0;234.2;3629.5;0;6.2;11.55
408;Aprikoosi, sokeriliemessä;307;16.0;0.1;1.0;0;1.3;0.3;0;0;16.0;0.7;0;1.3;0;0;14.0;0.6;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;25;7;0;0;0;9.5;31.0;0.4;1.0;160.0;8.8;7.2;18.4;11.0;0.2;0.3;3.6;2.0;0.4;0.3;0.06;0.02;0.02;0;4.0;52.0;698.8;0;0.6;3.00
1532;Aprikoosi-riisipuuro, vesi, sokeri;349;18.8;0.1;1.0;0;0.8;0.1;0;8.1;10.7;0.7;0;1.6;0;0;8.4;0.4;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;20;8;0;0;0;8.3;10.5;0.2;0.9;51.8;5.7;2.7;6.9;14.4;1.7;0.2;10.3;2.2;0.4;0.4;0.02;<0.01;<0.01;0;<0.1;17.4;270.0;0;0.5;0.88
31538;Aprikoosisose, sokeriton, c-vitaminoitu;242;11.8;0.1;1.0;0;1.8;0.4;0;1.7;10.1;2.9;0;2.9;0;0;4.4;0.8;1.3;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;26;0;0;0;15.2;29.7;0.4;0.9;152.1;8.4;1.9;5.0;10.7;1.0;0.3;5.7;3.3;0.5;0.5;0.05;0.04;0.03;0;30.0;57.2;985.1;0;0.9;3.13
35102;Aromiruismallas, vaalea mallas;1525;71.0;1.4;10.7;0;10.6;N/A;0;63.0;8.0;0.7;N/A;3.0;0;3.2;1.1;N/A;N/A;1.3;0.9;0.2;0.2;0;0.1;0.8;800;100;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;2.5;6.4;N/A;N/A;N/A;N/A;43.4;N/A;N/A;N/A;N/A;N/A;0;0;0;N/A;0;0;0
11196;Aromisuola/yrttisuola suolapitoisuus 71 %;289;10.8;1.2;1.7;0;3.7;<0.1;0;6.9;3.9;0.6;<0.1;0.7;0;<0.1;2.6;0.2;0.3;1.1;0.2;0.2;0.6;0.1;0.1;<0.1;67;100;0;0;0.7;11.9;287.7;4.9;6.0;234.8;139.2;27900.0;71089.2;83.0;0.4;0.6;17.6;25.8;0.6;0.3;0.16;0.07;0.02;0;2.0;2.1;111.4;0;0.6;86.58
32045;Ateria-ainekset, broileri-makaroni-pata, kypsennetty;359;6.9;1.5;10.5;0;1.0;<0.1;0;6.3;0.6;0.2;0;0.2;0;<0.1;0.2;0.1;0.4;1.4;0.3;0.5;0.5;<0.1;<0.1;0.3;234;33;6;5;22.8;9.3;11.1;0.7;3.1;204.1;16.4;309.3;788.0;83.4;10.5;0.5;111.1;10.5;3.0;3.3;0.25;0.06;0.04;0.3;2.6;7.5;211.6;<0.1;0.4;7.81
32040;Ateria-ainekset, broileri-riisi-pata, kypsennetty;357;8.8;1.4;8.9;0;0.3;<0.1;0;7.8;1.0;0.2;0;0.2;0;<0.1;0.6;<0.1;0.2;1.4;0.3;0.6;0.5;<0.1;<0.1;0.2;206;28;5;4;20.1;6.4;8.1;0.3;2.5;173.5;19.7;351.4;895.4;84.9;8.8;0.5;93.1;9.0;3.0;3.3;0.20;0.06;0.06;0.2;1.4;5.7;117.1;<0.1;0.3;6.04
32042;Ateria-ainekset, naudanliha-makaroni-pata, kypsennetty;554;6.9;7.4;9.1;0;1.0;<0.1;0;6.3;0.6;0.2;0;0.2;0;<0.1;0.2;0.1;0.4;7.0;0.3;3.3;3.2;0.1;<0.1;0.2;227;53;0;0;20.9;8.4;12.2;1.2;1.9;150.4;12.7;316.4;806.2;74.7;7.6;2.4;103.4;7.5;2.3;2.1;0.21;0.05;0.03;0.4;2.6;11.8;218.7;<0.1;0.3;2.47
32035;Ateria-ainekset, naudanliha-riisi-pata, kypsennetty;530;8.8;6.7;7.6;0;0.3;<0.1;0;7.8;1.0;0.2;0;0.2;0;<0.1;0.6;<0.1;0.2;6.3;0.3;3.0;3.0;<0.1;<0.1;0.2;199;46;0;0;18.4;5.6;9.1;0.8;1.4;126.2;16.4;357.4;910.7;77.2;6.3;2.2;86.4;6.3;2.3;2.3;0.17;0.04;0.05;0.3;1.4;9.6;124.1;<0.1;0.2;1.31
32025;Ateria-ainekset, pastaa juustokastikkeessa, kypsennetty;417;14.7;2.9;3.1;0;0.6;<0.1;0;12.3;2.3;<0.1;0;<0.1;1.9;<0.1;0.3;0.2;0.4;2.8;0.2;0.6;1.7;0.3;<0.1;0.2;181;17;0;0;0.6;17.2;36.7;0.6;2.9;91.4;9.4;328.8;837.8;41.5;1.7;0.3;32.7;3.4;0.5;0.2;0.02;0.04;0.02;<0.1;<0.1;1.4;35.6;<0.1;0.2;1.92
32024;Ateria-ainekset, pastaa sienikastikkeessa, kypsennetty;370;12.5;2.7;3.0;0;0.6;<0.1;N/A;10.5;2.1;<0.1;0;<0.1;1.5;0;0.5;0.2;0.4;2.6;0.2;0.6;1.6;0.3;<0.1;0.2;168;16;0;0;0.7;15.8;46.5;0.6;5.9;91.6;9.8;333.2;848.9;51.6;1.9;0.3;36.2;4.3;0.7;0.2;0.03;0.07;0.02;<0.1;0.2;0.9;32.5;<0.1;0.1;1.76
32031;Ateria-ainekset, pastaa tomaattikastikkeessa, kypsennetty;348;14.5;1.5;2.4;0;0.6;<0.1;0;11.3;3.2;0.1;0;0.1;2.0;<0.1;0.9;0.2;0.3;1.4;0.1;0.3;0.8;0.1;<0.1;0.1;136;11;0;0;0.1;12.6;20.3;0.6;3.2;84.8;9.4;403.4;1027.9;36.5;1.5;0.2;25.0;3.4;0.5;0.2;0.03;0.04;0.02;<0.1;1.0;0.9;620.5;0;0.1;1.17
32023;Ateria-ainekset, pasta carbonara, kypsennetty;378;13.2;2.7;2.9;0;0.6;<0.1;0;12.6;0.6;<0.1;0;<0.1;0.2;<0.1;0.3;0.2;0.4;2.5;0.2;0.6;1.5;0.2;<0.1;0.2;186;17;0;0;1.0;16.0;22.7;0.6;2.2;55.4;7.8;321.6;819.5;35.1;1.9;0.3;30.3;3.3;0.6;0.2;0.01;0.01;0.02;<0.1;<0.1;2.2;38.7;<0.1;0.1;1.84
32043;Ateria-ainekset, sianliha-makaroni-pata, kypsennetty;516;7.1;6.2;9.3;0;1.0;<0.1;0;6.5;0.6;0.2;0;0.2;0;<0.1;0.2;0.2;0.4;5.9;0.9;2.7;2.2;<0.1;<0.1;0.8;722;75;5;5;21.5;8.9;12.0;0.8;2.0;163.7;13.9;329.1;838.6;84.6;8.0;1.0;112.9;6.9;2.4;2.2;0.19;0.11;0.39;0.3;2.7;7.4;216.8;0.2;0.3;3.13
32039;Ateria-ainekset, sianliha-riisi-pata, kypsennetty;496;9.0;5.6;7.8;0;0.3;<0.1;0;8.0;1.0;0.2;0;0.2;0;<0.1;0.6;<0.1;0.2;5.3;0.8;2.4;2.0;<0.1;<0.1;0.7;636;65;4;4;18.9;5.9;8.9;0.4;1.4;137.2;17.5;369.9;942.5;86.0;6.6;0.9;94.2;5.8;2.5;2.3;0.15;0.10;0.37;0.2;1.4;5.6;119.7;0.1;0.2;1.86
32046;Ateria-ainekset, soijarouhe-makaroni-pata, kypsennetty;369;9.6;1.0;8.5;0;3.1;<0.1;0;7.9;1.7;0.2;0;0.2;0;<0.1;0.2;1.1;1.5;0.8;0.3;0.2;0.3;<0.1;<0.1;0.3;243;22;0;0;0.2;8.1;44.6;2.5;0.7;410.3;50.1;280.5;714.7;119.8;1.2;0.9;109.7;36.6;2.0;0.5;0.14;0.04;0.09;0;2.5;3.8;200.3;0;0.1;1.67
32041;Ateria-ainekset, soijarouhe-riisi-pata, kypsennetty;366;11.1;1.0;7.2;0;2.2;<0.1;0;9.1;2.0;0.2;0;0.2;0;<0.1;0.6;0.9;1.2;0.9;0.2;0.3;0.3;<0.1;<0.1;0.2;215;18;0;0;<0.1;5.4;38.1;1.9;0.3;358.8;49.6;323.8;825.0;117.3;0.7;0.9;92.7;32.3;2.0;0.8;0.11;0.04;0.11;0;1.3;2.5;111.5;0;<0.1;0.65
32384;Ateriakastike, currykastike, uncle ben's, valmiskastike;259;9.1;2.3;0.7;0;0.3;0.2;0;2.7;6.5;0.8;0;0.6;0.6;0;4.5;0.1;0.2;2.2;0.1;0.7;1.3;<0.1;<0.1;0.1;119;10;0;0;2.5;5.1;19.8;0.1;0.8;62.9;6.4;650.8;1658.1;12.3;0.2;<0.1;5.7;6.9;0.2;0.2;0.05;0.02;0.01;<0.1;14.3;18.6;300.8;<0.1;0.2;0.71
32478;Ateriakastike, hapanimelä, sweet & sour, uncle ben's, valmiskastike;362;19.7;0.2;0.5;0;0.9;0.4;0;2.7;17.1;0.7;0;0.7;0;0;15.7;0.3;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;37;9;0;0;0.2;7.6;10.2;0.2;1.3;145.1;6.0;157.0;400.1;17.4;0.3;0.2;4.8;14.6;0.4;0.3;0.12;0.03;0.03;0;28.8;28.5;1187.8;0;0.4;3.92
32386;Ateriakastike, tikka masala, uncle ben's, valmiskastike;456;9.0;7.2;1.3;0;1.1;0.3;0;2.6;6.1;0.9;0;0.7;1.2;0;3.3;0.2;0.4;6.8;2.7;1.3;2.8;<0.1;<0.1;2.6;2627;27;0;0;3.7;19.3;41.7;0.2;4.1;170.1;10.9;521.8;1329.6;44.2;0.8;0.2;18.4;7.8;0.6;0.3;0.05;0.07;0.04;<0.1;6.9;38.8;1675.6;<0.1;2.9;2.73
35491;Ateriankorvike, chocolate velvet drink, cambridge;365;10.1;1.6;7.2;0;1.2;0.2;0;0.2;9.9;0;0;<0.1;9.9;<0.1;0;<0.1;0.5;1.5;0.8;0.4;0.4;<0.1;<0.1;0.7;680;96;0;0;2.9;4.4;192.0;2.4;20.0;312.0;50.0;<0.1;0.2;140.0;7.3;1.8;105.5;28.0;4.0;2.2;0.24;0.30;0.20;0.3;11.2;112.0;5.3;0.8;2.0;10.00
32623;Ateriankorvike, drinkmix, juomajauhe, naturdiet;1463;31.9;5.5;35.1;0;15.2;0;0;8.9;22.2;21.5;0;<0.1;0.1;0.5;0;2.7;12.5;4.6;1.8;1.2;1.6;0;0.2;1.6;1332;210;0;0;0.8;58.9;560.0;15.0;93.0;2515.0;290.0;1100.1;2803.1;710.0;33.0;8.0;322.1;240.0;19.4;14.0;1.30;1.10;0.90;1.8;45.0;606.0;4.2;4.5;7.6;42.00
32624;Ateriankorvike, drinkmix, juomajauhe ja vesi, naturdiet;171;3.7;0.6;4.1;0;1.8;0;0;1.0;2.6;2.5;0;<0.1;<0.1;<0.1;0;0.3;1.5;0.5;0.2;0.1;0.2;0;<0.1;0.2;155;24;0;0;<0.1;6.9;68.0;1.7;10.8;293.3;33.8;129.2;329.1;82.8;3.9;0.9;37.6;28.0;2.3;1.6;0.15;0.13;0.10;0.2;5.2;70.7;0.5;0.5;0.9;4.90
35011;Ateriankorvike, energiapatukka, vitaminoitu, keskiarvo;1628;59.1;11.4;8.8;0;5.3;0.8;0;23.4;35.6;15.2;0;10.3;1.7;0.2;7.8;1.2;3.0;10.0;1.3;3.7;5.0;<0.1;<0.1;1.3;1286;46;0;0;1.1;45.1;99.8;2.8;13.3;414.5;70.9;18.8;47.9;236.2;5.7;1.6;118.5;265.2;23.0;21.0;2.18;1.80;1.40;3.4;105.4;17.5;58.9;0;16.2;1.66
34990;Ateriankorvike, heraproteiinijauhe, 74 % proteiinia;1634;8.9;5.9;74.2;0;0;0;0;0;8.9;0;4.4;4.4;<0.1;0;0;0;0;5.8;0.2;1.9;3.7;0;0;0;0;0;0;0;0;0;<0.1;0;N/A;0;0;77.7;197.9;0;<0.1;0;1782.0;0;0;0;0;0;0;0;0;0;0;0;0;0
34991;Ateriankorvike, heraproteiinijauhe, 85 % proteiinia;1502;1.2;1.0;85.0;0;0;0;0;0.2;1.0;0;0;0;1.0;0;0;0;0;0.9;<0.1;0.3;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.1;119.9;0;0;0;1697.0;0;0;0;0;0;0;0;0;0;0;0;0;0
35013;Ateriankorvike, heraproteiinijauhe, n. 40 % proteiinia;1554;44.3;3.2;40.1;0;0;0;0;30.7;10.4;0;2.4;5.7;<0.1;2.2;0;0;0;3.1;0.1;1.0;2.0;0;0;0;0;0;0;0;0;0;0.1;0;N/A;0;0;61.3;156.2;0;<0.1;0;800.0;0;0;0;0;0;0;0;0;0;0;0;0;0
34997;Ateriankorvike, heraproteiinijauhe, n. 90 % proteiinia;1633;2.7;0.4;92.5;0;0;0;0;0;2.7;0;1.3;1.3;<0.1;0;0;0;0;0.8;<0.1;0.6;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.5;60.0;0;0;0;1310.7;0;0;0;0;0;0;0;0;0;0;0;0;0
35003;Ateriankorvike, heraproteiinivälipalajauhe, profeel, 44 % proteiinia;1594;44.1;2.6;44.0;0;0;0;0;8.8;35.3;0;8.3;26.4;0;0.6;0;0;0;2.5;<0.1;0.8;1.6;<0.1;<0.1;<0.1;6;2;0;0;5.5;0;448.8;0.1;49.5;564.3;41.6;220.3;561.3;323.4;6.6;1.6;858.9;16.8;3.2;0.3;0.16;0.72;0.11;0.9;2.0;1.9;6.9;<0.1;<0.1;0.03
32653;Ateriankorvike, hot and cold mocca, juomajauhe, nutrilett;1589;46.5;4.5;34.2;0;6.3;N/A;N/A;10.8;35.7;N/A;N/A;N/A;2.4;N/A;N/A;N/A;N/A;4.2;2.1;0.9;1.2;N/A;0.3;1.8;1800;300;N/A;N/A;N/A;N/A;609.0;10.5;114.6;2469.0;303.0;660.0;1681.7;693.0;46.8;7.5;N/A;276.9;15.9;15.9;1.80;1.50;1.20;2.4;52.8;741.0;N/A;11.4;8.1;81.30
32654;Ateriankorvike, hot and cold mocca, juomajauhe ja vesi, nutrilett;185;5.4;0.5;4.0;0;0.7;0;0;1.3;4.2;0;0;0;0.3;0;0;0;0;0.5;0.2;0.1;0.1;0;<0.1;0.2;210;35;0;0;0;0;73.7;1.2;13.4;287.9;35.3;77.8;198.3;80.8;5.5;0.9;0;32.3;1.9;1.9;0.21;0.17;0.14;0.3;6.2;86.4;0;1.3;0.9;9.48
32655;Ateriankorvike, hunger control, patukka, nutrilett;1567;39.6;11.1;24.4;0;8.5;N/A;N/A;10.3;29.3;N/A;N/A;N/A;1.7;N/A;N/A;N/A;N/A;11.0;2.5;3.8;4.7;N/A;N/A;2.1;2100;N/A;N/A;N/A;N/A;N/A;378.0;11.6;71.5;875.0;83.0;330.0;840.8;578.0;33.7;5.5;N/A;128.0;11.2;11.2;0.88;0.92;0.65;1.0;26.2;377.0;N/A;2.7;7.1;N/A
32650;Ateriankorvike, hunger control, valmisjuoma, nutrilett;283;9.8;0.9;4.1;0;1.7;N/A;N/A;N/A;9.3;N/A;N/A;N/A;0.5;N/A;N/A;N/A;N/A;0.8;0.4;0.2;0.2;N/A;0;0.4;400;N/A;N/A;N/A;N/A;N/A;118.0;1.7;14.0;159.0;14.0;72.0;183.5;98.0;5.9;1.0;N/A;21.0;1.9;1.9;0.20;0.20;0.10;0.4;4.9;74.0;N/A;0.5;1.1;N/A
